timestamp,source_ip,username,event_type,details
2026-08-14 10:00:01,192.168.1.45,admin,LOGIN_FAILED,Failed login
2026-08-14 10:00:08,192.168.1.45,admin,LOGIN_FAILED,Failed login
2026-08-14 10:00:15,192.168.1.45,admin,LOGIN_FAILED,Failed login
2026-08-14 10:00:21,192.168.1.45,admin,LOGIN_FAILED,Failed login
2026-08-14 10:00:30,192.168.1.45,admin,LOGIN_FAILED,Failed login
2026-08-14 10:00:33,192.168.1.45,admin,LOGIN_SUCCESS,Successful login
2026-08-14 10:01:15,192.168.1.20,alice,LOGIN_SUCCESS,Successful login
2026-08-14 10:02:10,192.168.1.30,bob,LOGIN_FAILED,Failed login
2026-08-14 10:02:20,192.168.1.30,bob,LOGIN_SUCCESS,Successful login
2026-08-14 10:03:00,192.168.1.20,alice,POWERSHELL_EXECUTION,powershell.exe Get-Service
2026-08-14 10:04:00,192.168.1.45,admin,POWERSHELL_EXECUTION,powershell.exe -EncodedCommand ABC123
2026-08-14 10:08:00,192.168.1.50,abi,ADMIN_ACCOUNT_CREATED,Hired a new admin
